nohup: ignoring input

🔍 正在处理文件: data/features/chb01/features.npz

📂 Fold 1/5
Epoch 14/20 | Loss: 0.4776 | Val Acc: 0.8544
Epoch 15/20 | Loss: 0.4776 | Val Acc: 0.8578
Epoch 16/20 | Loss: 0.4754 | Val Acc: 0.8555
Epoch 17/20 | Loss: 0.4781 | Val Acc: 0.8544
Epoch 18/20 | Loss: 0.4727 | Val Acc: 0.8532
Epoch 19/20 | Loss: 0.4694 | Val Acc: 0.8509
Epoch 20/20 | Loss: 0.4742 | Val Acc: 0.8578

📂 Fold 3/5
Epoch 1/20 | Loss: 0.5871 | Val Acc: 0.7466
Epoch 2/20 | Loss: 0.5219 | Val Acc: 0.7936
Epoch 3/20 | Loss: 0.5032 | Val Acc: 0.8016
Epoch 4/20 | Loss: 0.4935 | Val Acc: 0.8154
Epoch 5/20 | Loss: 0.4893 | Val Acc: 0.8200
Epoch 6/20 | Loss: 0.4862 | Val Acc: 0.8257
Epoch 7/20 | Loss: 0.4859 | Val Acc: 0.8222
Epoch 8/20 | Loss: 0.4834 | Val Acc: 0.8326
Epoch 9/20 | Loss: 0.4828 | Val Acc: 0.8291
Epoch 10/20 | Loss: 0.4802 | Val Acc: 0.8337
Epoch 11/20 | Loss: 0.4823 | Val Acc: 0.8337
Epoch 12/20 | Loss: 0.4772 | Val Acc: 0.8406
Epoch 13/20 | Loss: 0.4785 | Val Acc: 0.8245
Epoch 14/20 | Loss: 0.4774 | Val Acc: 0.8291
Epoch 15/20 | Loss: 0.4763 | Val Acc: 0.8303
Epoch 16/20 | Loss: 0.4750 | Val Acc: 0.8394
Epoch 17/20 | Loss: 0.4748 | Val Acc: 0.8372
Epoch 18/20 | Loss: 0.4739 | Val Acc: 0.8394
Epoch 19/20 | Loss: 0.4689 | Val Acc: 0.8383
Epoch 20/20 | Loss: 0.4709 | Val Acc: 0.8429

📂 Fold 4/5
Epoch 1/20 | Loss: 0.5940 | Val Acc: 0.7626
Epoch 2/20 | Loss: 0.5187 | Val Acc: 0.7810
Epoch 3/20 | Loss: 0.5007 | Val Acc: 0.8096
Epoch 4/20 | Loss: 0.4946 | Val Acc: 0.8142
Epoch 5/20 | Loss: 0.4873 | Val Acc: 0.8337
Epoch 6/20 | Loss: 0.4860 | Val Acc: 0.8394
Epoch 7/20 | Loss: 0.4829 | Val Acc: 0.8372
Epoch 8/20 | Loss: 0.4792 | Val Acc: 0.8211
Epoch 9/20 | Loss: 0.4778 | Val Acc: 0.8463
Epoch 10/20 | Loss: 0.4805 | Val Acc: 0.8452
Epoch 11/20 | Loss: 0.4750 | Val Acc: 0.8452
Epoch 12/20 | Loss: 0.4735 | Val Acc: 0.8452
